activity,activityID,userID,"rating (hi = 50, low = 10)",,,unique users,# of ratings per user,,
African American Civil War Memorial & Museum,g28970-d535036,lowlander46,40,,,triciadc,7,,
African American Civil War Memorial & Museum,g28970-d535036,livewireent06,50,,,TravelQ6492QE,7,,
African American Civil War Memorial & Museum,g28970-d535036,LisandroVoyager,40,,,TravelLover59,7,,
African American Civil War Memorial & Museum,g28970-d535036,lholt6,50,,,TonyK300,7,,
African American Civil War Memorial & Museum,g28970-d535036,lbug0220,40,,,TN-Traveler38017,7,,
African American Civil War Memorial & Museum,g28970-d535036,Lauren_121990,50,,,TheRoadTripsNeverEnd,7,,
African American Civil War Memorial & Museum,g28970-d535036,JWP8,50,,,Teacheragent101,7,,
African American Civil War Memorial & Museum,g28970-d535036,Joseph_Mitchell,50,,,stonerose5,7,,
African American Civil War Memorial & Museum,g28970-d535036,JoeNathan9249,50,,,SmallTownWorld,7,,
African American Civil War Memorial & Museum,g28970-d535036,jne7299318,50,,,sleebrownies,6,,
African American Civil War Memorial & Museum,g28970-d535036,JimSTL1021,40,,,Shutterbug35,7,,
African American Civil War Memorial & Museum,g28970-d535036,jeffl499,50,,,SerendipityIndia,7,,
African American Civil War Memorial & Museum,g28970-d535036,HonestMcHonest,10,,,Sacred-Valley-Girl,7,,
African American Civil War Memorial & Museum,g28970-d535036,holtspa,50,,,ronaldcU9688MI,7,,
African American Civil War Memorial & Museum,g28970-d535036,HelenaGuerra,50,,,ronaldb416,7,,
African American Civil War Memorial & Museum,g28970-d535036,H6176SJdavidc,40,,,RollTide315,7,,
African American Civil War Memorial & Museum,g28970-d535036,GregC968,50,,,RichardinOhio,7,,
African American Civil War Memorial & Museum,g28970-d535036,Goldengirl94,50,,,pinkdawn71,7,,
African American Civil War Memorial & Museum,g28970-d535036,GeoffreyA183,50,,,PetePope1,6,,
African American Civil War Memorial & Museum,g28970-d535036,Fabdiva1,50,,,PeteD041,7,,
African American Civil War Memorial & Museum,g28970-d535036,F8535QNshanew,50,,,P922KTpaulr,7,,
African American Civil War Memorial & Museum,g28970-d535036,EricaMitchell685,50,,,OregonExplorers4,6,,
African American Civil War Memorial & Museum,g28970-d535036,DMGAmes_Iowa,40,,,njgalnva,7,,
African American Civil War Memorial & Museum,g28970-d535036,dkorwood,40,,,NewOrleansfirstgal,7,,
African American Civil War Memorial & Museum,g28970-d535036,dinocatloverp,50,,,nderiley,7,,
African American Civil War Memorial & Museum,g28970-d535036,Derkenb,40,,,nauticalnana1,7,,
African American Civil War Memorial & Museum,g28970-d535036,demarisb2013,50,,,MostafaA424,7,,
African American Civil War Memorial & Museum,g28970-d535036,CT225,50,,,misopiso88,7,,
African American Civil War Memorial & Museum,g28970-d535036,crinkleyrose,30,,,matts23,7,,
African American Civil War Memorial & Museum,g28970-d535036,cordyroy,50,,,Mari818,7,,
African American Civil War Memorial & Museum,g28970-d535036,codyk530,50,,,MALAYAPPAN,7,,
African American Civil War Memorial & Museum,g28970-d535036,cjaycjay,50,,,Locemup,4,,
African American Civil War Memorial & Museum,g28970-d535036,ChakChel,30,,,lfbmonkey,7,,
African American Civil War Memorial & Museum,g28970-d535036,cgny1fwd,40,,,Leland524,7,,
African American Civil War Memorial & Museum,g28970-d535036,CalS864,50,,,LadyAboutTown,7,,
African American Civil War Memorial & Museum,g28970-d535036,cakelet69,50,,,L1351EXjasonr,6,,
African American Civil War Memorial & Museum,g28970-d535036,BuddhistNYC,50,,,krewerka,7,,
African American Civil War Memorial & Museum,g28970-d535036,Brianabulls,50,,,Kolasa03148,6,,
African American Civil War Memorial & Museum,g28970-d535036,Brend482,30,,,kevc56,7,,
African American Civil War Memorial & Museum,g28970-d535036,brandip950,40,,,jxx9595,7,,
African American Civil War Memorial & Museum,g28970-d535036,beantony15,50,,,JoshuaR857,7,,
African American Civil War Memorial & Museum,g28970-d535036,bathtravel123,20,,,Hotelman325,7,,
African American Civil War Memorial & Museum,g28970-d535036,barbarak275,50,,,Hiloschild808,4,,
African American Civil War Memorial & Museum,g28970-d535036,asfox,50,,,helenwZ6186CG,7,,
African American Civil War Memorial & Museum,g28970-d535036,ar0312,50,,,heikkih722,7,,
African American Civil War Memorial & Museum,g28970-d535036,Anisoj,50,,,Gdsiceo,7,,
African American Civil War Memorial & Museum,g28970-d535036,Amymcg24,50,,,FunTravels69,7,,
